sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A),ebeam_mean(GeV),ebeam_std(GeV),totcharge(C)
11,12355,LH2,2100,750,9.888831165329742,0.0002350296954724,0.0747418
11,12358,LH2,2100,750,9.889240757087087,0.0002598615551196,0.0625424
11,12363,LH2,2100,750,9.889074383208952,0.0002023792658726,0.0661583
11,12367,LH2,2100,750,9.889296461871345,0.0005564284850539,0.0159026
11,12368,LH2,2100,750,9.88922462126316,0.0001611963240981,0.00977882
11,12369,LH2,2100,750,9.88915624794661,0.0001401078269792,0.0529442
11,12370,LH2,2100,750,9.889197224412468,0.000153573578019,0.0476794
11,12380,LH2,2100,750,9.889082317272727,0.0001659638450316,0.0665846
11,12382,LH2,2100,750,9.888990438440366,0.0001880215281132,0.0655388
11,12400,LH2,2100,750,9.888883511497797,0.0002555828749073,0.0388633
11,12401,LH2,2100,750,9.88881679167002,0.000289701673943,0.0438347
11,12414,LH2,2100,750,9.889046133687945,0.0001763422482792,0.0272987
11,12415,LH2,2100,750,9.88903831130137,0.0001857532295966,0.0383723
11,12427,LH2,2100,750,9.888795912033196,0.0002694636552514,0.0225132
11,12428,LH2,2100,750,9.888800539425835,0.0001829520568402,0.0223449
11,12429,LH2,2100,750,9.88878152150376,0.0002306101511684,0.0133734
11,12471,LH2,2100,750,9.888609196757988,0.0005068499907145,0.0687635
11,12472,LH2,2100,750,9.888834800792075,0.0003759030563522,0.00658696
11,12491,LH2,2100,750,9.888939226285714,0.0003329752583284,0.00539796
11,12496,LH2,2100,750,9.888655372344823,0.0002349156645478,0.047507
11,12497,LH2,2100,750,9.888596560640112,0.0002682705529522,0.0744233
11,12524,LH2,2100,750,9.88906176176344,0.0002165504831033,0.0365397
11,12525,LH2,2100,750,9.88902609673956,0.0002050724411321,0.0566498
11,12526,LH2,2100,750,9.889038827019498,0.0002540838456848,0.0389738
11,12548,LH2,2100,750,9.889087580146558,0.0001618853921933,0.0628051
11,12561,LH2,2100,750,9.888864862184178,0.0002303019970357,0.0693543
11,12563,LH2,2100,750,9.888793521836476,0.0001982354163889,0.0688644
11,12575,LH2,2100,750,9.888584222969282,0.0002472308332715,0.075274
11,12576,LH2,2100,750,9.888598954210526,0.0002769394670071,0.0530236
11,12587,LH2,2100,750,9.88861767653514,0.0003494529776876,0.0644463
11,12588,LH2,2100,750,9.88863217124533,0.0003120275524461,0.0673718
11,12625,LH2,2100,750,9.88846714138381,0.0002682407920112,0.0349493
