sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A),ebeam_mean(GeV),ebeam_std(GeV),totcharge(C)
7,11997,LD2,1785,750,7.931054356629212,0.0002551340950316,0.00342614
7,11998,LD2,1785,750,7.930868755373134,0.0008168914681141,0.0155879
7,11999,LD2,1785,750,7.930974813349753,0.0007954084546781,0.0164604
7,12001,LD2,1785,750,7.930663327499998,0.0008606310657801,0.0129417
7,12002,LD2,1785,750,7.9310822776354675,0.0009862702407397,0.0129081
7,12004,LD2,1785,750,7.930917715833332,0.0005337202910184,0.0109482
7,12006,LD2,1785,750,7.931004347499999,0.0010152610319566,0.0126405
7,12013,LD2,1785,750,7.931136556666665,0.0003956300369434,0.0123916
7,12014,LD2,1785,750,7.930992834569892,0.0006143852954401,0.00409855
7,12017,LD2,1785,750,7.93117956369458,0.0004876944990295,0.0273946
7,12019,LD2,1785,750,7.931130451280787,0.0005111801718805,0.0197013
7,12021,LD2,1785,750,7.930735328571428,0.000570876483512,0.0129128
7,12029,LD2,1785,750,7.930836616748768,0.0007591035965608,0.0289188
7,12030,LD2,1785,750,7.930792000541871,0.0006473675868283,0.0277528
7,12038,LD2,1785,750,7.930721444679802,0.0003971279856074,0.00692662
7,12039,LD2,1785,750,7.930700425641025,0.0001210169475683,0.00149455
7,12040,LD2,1785,750,7.930749781739129,0.0003146768272898,0.000620016
7,12041,LD2,1785,750,7.930698678333333,0.0004144008078302,0.00655155
7,12042,LD2,1785,750,7.930682609310343,0.0003539962492803,0.00682457
7,12043,LD2,1785,750,7.930815127692307,0.0002199508105564,0.00895837
7,12044,LD2,1785,750,7.930617339432989,0.0003479794792837,0.00701956
7,12045,LD2,1785,750,7.930592339310344,0.0004030941317237,0.0054707
7,12046,LD2,1785,750,7.930381066995073,0.0004376311382029,0.00521427
7,12047,LD2,1785,750,7.930880145960589,0.0003806008844094,0.00699298
7,12048,LD2,1785,750,7.930782041953124,0.0004128957772019,0.00384835
7,12050,LD2,1785,750,7.930535886735751,0.0004149097265557,0.0335022
7,12051,LD2,1785,750,7.930668181921182,0.0002525663348327,0.0242493
7,12055,LD2,1785,750,7.930260554166666,0.0002381922601148,0.0214874
7,12056,LD2,1785,750,7.930811022955663,0.0005112947621976,0.0186954
